Data_Zone,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,overall_imd_score,new_rank,agreement,Income_rate,Employment_rate
S01006506,4691,3936.0,3220.0,11.590748739622944,4692.0,False,8,8
S01006507,4862,4829.0,4481.0,10.79962528772831,4862.0,True,5,5
S01006508,5686,4460.0,5110.0,7.479735700505064,5686.0,True,6,4
S01006509,4332,3481.0,3229.0,12.994317220002975,4332.0,True,10,8
S01006510,3913,3344.0,3448.0,14.8017054590835,3914.0,False,10,8
S01006511,6253,5469.0,5346.0,5.410411261632975,6253.0,True,4,4
S01006512,5692,6264.0,6206.0,7.4714070400809645,5691.0,False,2,2
S01006513,6177,6572.0,5695.0,5.77269755702259,6176.0,False,2,3
S01006514,6715,6704.0,6658.0,3.6665237752791926,6715.0,True,2,2
S01006515,6363,6955.0,6803.0,5.027101529572761,6363.0,True,1,1
S01006516,5947,6359.0,5542.0,6.573276491888558,5947.0,True,2,3
S01006517,5772,6335.0,5324.0,7.183153529366638,5771.0,False,2,4
S01006518,6674,6864.0,6851.0,3.8691747623533614,6674.0,True,1,1
S01006519,6229,6474.0,6284.0,5.507826258458504,6229.0,True,2,2
S01006520,6490,6831.0,6920.0,4.550258478200035,6490.0,True,1,1
S01006521,6519,6952.0,6896.5,4.444736668551239,6519.0,True,1,1
S01006522,6769,6969.0,6955.0,3.4422596063601003,6769.0,True,0,1
S01006523,6504,5955.5,6373.0,4.475091138130409,6504.0,True,3,2
S01006524,4175,3368.0,2956.0,13.653287499382971,4175.0,True,10,9
S01006525,6143,5748.0,5409.5,5.848606084168278,6143.0,True,3,4
S01006526,2538,2796.0,3450.0,22.31862326231031,2538.0,True,12,8
S01006527,2030,2045.0,2228.0,26.945594535434306,2031.0,False,16,12
S01006528,3834,3529.0,4079.0,15.16756444052662,3834.0,True,9,6
S01006529,3770,3619.0,4557.0,15.47899333703531,3770.0,True,9,5
S01006530,2218,2282.0,2360.0,25.02881846121157,2218.0,True,15,11
S01006531,1611,1802.0,2419.0,31.055682105014146,1611.0,True,18,11
S01006532,5977,5440.0,5265.0,6.466740650484039,5977.0,True,4,4
S01006533,6786,6688.0,6361.0,3.291090368758733,6786.0,True,2,2
S01006534,6831,6483.0,6616.0,3.0133709992492426,6831.0,True,2,2
S01006535,6734,6182.0,6081.0,3.6082020473459773,6734.0,True,3,3
S01006536,5634,5325.0,5383.0,7.6719557919884345,5634.0,True,4,4
S01006537,6664,6697.0,6758.0,3.8968428132384654,6664.0,True,2,1
S01006538,6457,6724.0,6391.0,4.699031326036455,6457.0,True,1,2
S01006539,6727,6250.5,6109.0,3.6361369146444065,6727.0,True,2,3
S01006540,6478,6516.0,5795.0,4.59940282876372,6478.0,True,2,3
S01006541,6548,5792.0,5861.0,4.3349438608169315,6548.0,True,3,3
S01006542,6751,6862.0,6611.0,3.534121643721061,6751.0,True,1,2
S01006543,6756,6641.0,6493.0,3.4991362442436977,6756.0,True,2,2
S01006544,6937,6644.0,6927.0,2.142048019297656,6937.0,True,2,1
S01006545,6594,6217.5,5967.0,4.179288795676714,6594.0,True,3,3
S01006546,6951,6663.5,5953.0,1.8233118982002745,6951.0,True,2,3
S01006547,3784,4021.0,3752.0,15.400051301000637,3785.0,False,8,7
S01006548,6455,6623.0,6264.0,4.711322675449981,6455.0,True,2,2
S01006549,6820,6908.0,6827.0,3.132563281884212,6820.0,True,1,1
S01006550,6760,6875.0,6706.0,3.4832522734058298,6760.0,True,1,2
S01006551,1474,1882.0,999.0,32.5247833171946,1474.0,True,17,18
S01006552,6084,5879.0,6124.0,6.023019357991009,6084.0,True,3,3
S01006553,5280,5211.0,4719.0,9.047537915941728,5280.0,True,5,5
S01006554,3924,3537.0,3857.0,14.760838056686318,3924.0,True,9,7
S01006555,1608,2495.0,1432.0,31.083547258622016,1609.0,False,14,15
S01006556,2292,2037.0,1937.0,24.272477855705805,2292.0,True,16,13
S01006557,1446,1871.0,1328.0,32.97377518021512,1446.0,True,17,16
S01006558,6797,6207.0,6023.5,3.245765080993391,6797.0,True,3,3
S01006559,6972,6709.0,6749.0,1.3095443885155909,6972.0,True,1,1
S01006560,6953,6498.5,6817.0,1.7788140106976464,6953.0,True,2,1
S01006561,6975,6888.0,6873.0,1.1882412912365328,6975.0,True,1,1
S01006562,4724,4550.0,3514.0,11.458541881618546,4725.0,False,6,8
S01006563,5035,5609.5,4939.0,10.088821529198347,5034.0,False,4,4
S01006564,3336,3294.0,3088.0,17.596838035094905,3336.0,True,10,9
S01006565,3653,3675.0,3803.0,16.08970689925999,3652.0,False,9,7
S01006566,5826,4950.0,5202.0,7.003637651223731,5826.0,True,5,4
S01006567,2656,2757.0,2013.0,21.62400710320683,2656.0,True,13,13
S01006568,5931,5946.0,5682.0,6.624044560068334,5931.0,True,3,3
S01006569,5320,4657.0,4000.0,8.894907000268175,5320.0,True,6,6
S01006570,6963,6712.0,6683.0,1.4907048240862066,6963.0,True,1,2
S01006571,6414,6029.0,6230.0,4.872152850823578,6414.0,True,3,2
S01006572,6930,6953.0,6902.0,2.230655255308655,6930.0,True,1,1
S01006573,6974,6702.0,6895.0,1.1911694468668552,6974.0,True,2,1
S01006574,6865,6496.0,6928.0,2.740568029848095,6865.0,True,2,1
S01006575,6960,6922.0,6933.0,1.5735576778843385,6960.0,True,1,1
S01006576,6515,6639.0,5841.0,4.451149562763987,6515.0,True,2,3
S01006577,6717,6239.0,5906.0,3.6644999652195915,6717.0,True,2,3
S01006578,5471,5174.0,5030.0,8.3035297096286,5471.0,True,5,4
S01006579,6411,5893.0,5714.0,4.876632828831843,6411.0,True,3,3
S01006580,6296,5526.0,5502.5,5.254367504627799,6296.0,True,4,3
S01006581,6967,6939.0,6721.0,1.4036389471435984,6967.0,True,1,2
S01006582,3921,5328.0,5465.5,14.777666013236216,3920.0,False,4,4
S01006583,5250,5114.0,6067.0,9.15457794037567,5250.0,True,5,3
S01006584,6357,6420.0,6009.0,5.049214905415148,6357.0,True,2,3
S01006585,2375,2989.0,2304.0,23.530595649584832,2375.0,True,12,11
S01006586,3228,3878.0,4407.0,18.18193171436335,3223.0,False,8,5
S01006587,1562,2398.0,1866.0,31.552318862095728,1560.0,False,14,13
S01006588,3265,4588.0,4289.0,18.037055850813246,3261.0,False,6,6
S01006589,3415,3779.0,3923.0,17.181376601586603,3416.0,False,9,7
S01006590,2720,4034.0,3850.0,21.171008881879814,2720.0,True,8,7
S01006591,4598,4591.0,4350.0,11.949205099691353,4598.0,True,6,6
S01006592,6908,6768.0,6762.0,2.4264519159739706,6908.0,True,1,1
S01006593,6609,6022.0,6371.0,4.12151732317783,6609.0,True,3,2
S01006594,6383,5872.0,5508.0,4.96590230252097,6383.0,True,3,3
S01006595,6116,5461.0,5507.0,5.921376622394532,6116.0,True,4,3
S01006596,6881,6632.0,6660.0,2.6517811818392514,6881.0,True,2,2
S01006597,3712,4262.0,3570.0,15.782095295743874,3712.0,True,7,7
S01006598,6810,6880.0,6455.0,3.17321165380807,6810.0,True,1,2
S01006599,2958,3137.0,2643.0,19.76253758734252,2958.0,True,11,10
S01006600,6316,5644.0,6054.0,5.204180237284229,6316.0,True,4,3
S01006601,5017,4767.0,3865.0,10.163405213685184,5017.0,True,6,7
S01006602,6840,5615.0,6479.0,2.9185806159566563,6840.0,True,4,2
S01006603,1367,2116.0,1062.0,34.093071427849786,1366.0,False,16,17
S01006604,3121,2915.0,3244.0,18.761423221397862,3121.0,True,12,8
S01006605,1743,1566.0,2180.0,29.80252679096328,1744.0,False,19,12
S01006606,4154,4419.0,3586.0,13.718256527863112,4155.0,False,7,7
S01006607,3196,3288.0,3120.0,18.32071329322725,3196.0,True,10,9
S01006608,5522,5860.0,6263.0,8.114727875994896,5522.0,True,3,2
S01006609,3070,3219.0,3563.0,19.089795764234037,3070.0,True,11,7
S01006610,2413,2889.0,1746.0,23.275516585849722,2413.0,True,12,14
S01006611,2957,2979.0,2690.5,19.76367255971476,2957.0,True,12,10
S01006612,4528,4720.0,4218.0,12.248735151173603,4528.0,True,6,6
S01006613,6733,6767.0,6615.0,3.6171043669577,6733.0,True,1,2
S01006614,6443,5973.0,5994.0,4.755570901057547,6443.0,True,3,3
S01006615,6252,5671.5,6342.0,5.410834999178789,6252.0,True,4,2
S01006616,6374,6408.0,5775.0,4.994312402388531,6374.0,True,2,3
S01006617,5492,6044.0,4822.0,8.217099786598052,5493.0,False,3,5
S01006618,6688,6525.5,6781.0,3.7889443199097865,6688.0,True,2,1
S01006619,5487,6080.0,5100.0,8.236632782835722,5487.0,True,3,4
S01006620,5059,4964.0,4983.5,9.961132287645205,5059.0,True,5,4
S01006621,5523,5877.5,4741.0,8.111196395421924,5523.0,True,3,5
S01006622,6069,5485.5,5293.0,6.10507023331915,6069.0,True,4,4
S01006623,2241,3719.5,2330.0,24.855958608947883,2241.0,True,9,11
S01006624,2058,3093.0,2176.0,26.75228331333401,2057.0,False,11,12
S01006625,3148,3051.0,3199.0,18.605170169346163,3148.0,True,11,9
S01006626,1300,1781.0,1222.0,35.211263492394394,1300.0,True,18,16
S01006627,1238,2123.0,1619.0,36.289903745088246,1237.0,False,16,14
S01006628,2163,2798.0,2219.0,25.710352244247932,2163.0,True,12,12
S01006629,1081,1053.0,1570.0,38.41076401820361,1081.0,True,23,14
S01006630,1425,1280.0,1755.5,33.35083094418324,1425.0,True,21,14
S01006631,1207,1839.0,1865.0,36.70935644209819,1207.0,True,17,13
S01006632,1288,1480.0,1531.0,35.41169819168853,1288.0,True,20,15
S01006633,657,798.0,650.0,46.7747478953052,657.0,True,26,20
S01006634,417,563.0,583.0,53.65827862140112,417.0,True,28,21
S01006635,1480,1941.0,1910.5,32.46626495895907,1479.0,False,17,13
S01006636,754,759.0,893.0,44.48952090261121,754.0,True,26,18
S01006637,2463,3313.5,3030.0,22.886822755736056,2463.0,True,10,9
S01006638,1630,2310.0,1838.0,30.870643808930147,1630.0,True,15,13
S01006639,1694,1740.0,1655.0,30.264950460574635,1694.0,True,18,14
S01006640,5973,5695.0,6491.0,6.495808233228497,5973.0,True,4,2
S01006641,3513,3967.0,2852.0,16.711606391700663,3513.0,True,8,10
S01006642,3554,4032.0,3677.0,16.496135461309496,3554.0,True,8,7
S01006643,5411,5824.0,5160.0,8.483786986815517,5411.0,True,3,4
S01006644,4370,4354.0,4100.0,12.83791913113217,4370.0,True,7,6
S01006645,1007,1049.0,874.0,39.56861023811712,1007.0,True,23,18
S01006646,3888,4871.0,5686.0,14.899792430280472,3890.0,False,5,3
S01006647,2962,2616.0,3026.0,19.73040632414091,2962.0,True,13,9
S01006648,3506,4103.0,3531.0,16.753144771976523,3506.0,True,7,8
S01006649,2287,2481.0,1966.0,24.33572445669132,2288.0,False,14,13
S01006650,2621,3497.0,3438.0,21.831425823696417,2620.0,False,10,8
S01006651,2106,3031.0,2813.0,26.216399160685985,2106.0,True,12,10
S01006652,5477,5319.0,5873.0,8.280231528742874,5477.0,True,4,3
S01006653,5467,4731.0,4998.0,8.315281717532619,5467.0,True,6,4
S01006654,1188,1396.0,1132.0,36.93935047979452,1188.0,True,20,17
S01006655,3637,4380.0,2947.0,16.148153270793788,3637.0,True,7,9
S01006656,3391,3245.0,3314.0,17.309312210063485,3391.0,True,11,8
S01006657,2576,3333.0,3234.0,22.128970718019538,2575.0,False,10,8
S01006658,2192,2734.0,2892.0,25.387310267762313,2192.0,True,13,9
S01006659,6318,6482.0,6703.0,5.196184699447689,6318.0,True,2,2
S01006660,2358,2065.0,3367.0,23.69177892648672,2358.0,True,16,8
S01006661,4909,5353.0,5865.0,10.648529622099291,4908.0,False,4,3
S01006662,2481,3086.0,3344.0,22.72705427930984,2481.0,True,11,8
S01006663,6784,6808.0,6845.0,3.3198303379275407,6784.0,True,1,1
S01006664,5245,5382.5,5338.0,9.175489310356184,5245.0,True,4,4
S01006665,5380,5094.0,5460.5,8.611686279086832,5380.0,True,5,4
S01006666,973,1033.0,956.0,40.14603508115284,973.0,True,23,18
S01006667,552,977.0,510.0,49.42044488515151,552.0,True,24,22
S01006668,4426,4696.0,4855.0,12.63051293781946,4426.0,True,6,4
S01006669,2723,2846.0,2137.0,21.154158288657943,2723.0,True,12,12
S01006670,4012,3865.0,4217.0,14.38711896165217,4013.0,False,8,6
S01006671,6190,6849.0,6916.0,5.711197337824656,6190.0,True,1,1
S01006672,2208,2246.0,3174.0,25.20348288939182,2208.0,True,15,9
S01006673,2373,2404.0,2557.0,23.564439478963436,2373.0,True,14,10
S01006674,1045,1301.0,525.0,38.97113128586892,1045.0,True,21,21
S01006675,1512,1473.0,1785.0,32.10859261939113,1512.0,True,20,13
S01006676,1077,1342.0,860.0,38.48429589501476,1076.0,False,21,18
S01006677,753,1014.5,555.0,44.50330979625363,753.0,True,23,21
S01006678,1595,1722.0,1603.0,31.197973096395977,1595.0,True,18,14
S01006679,5716,5346.0,5422.5,7.387930592254409,5716.0,True,4,4
S01006680,1326,1444.0,1492.5,34.788040362110806,1326.0,True,20,15
S01006681,1681,1778.0,1664.0,30.395026113488996,1681.0,True,18,14
S01006682,1547,1291.0,1876.0,31.705789682323992,1547.0,True,21,13
S01006683,1599,1231.0,1835.0,31.180154399545703,1599.0,True,22,13
S01006684,268,664.0,208.0,59.779769328459544,268.0,True,27,26
S01006685,1224,1186.0,825.0,36.531141482902214,1224.0,True,22,19
S01006686,2157,1952.0,2110.0,25.762254532866645,2157.0,True,17,12
S01006687,2231,2322.0,2104.0,24.929870778707507,2231.0,True,15,12
S01006688,4429,3494.0,4589.0,12.616962379707077,4430.0,False,10,5
S01006689,6887,6886.0,6918.0,2.572650726516642,6887.0,True,1,1
S01006690,4118,3997.0,3793.0,13.877333387595607,4118.0,True,8,7
S01006691,5313,5230.0,4817.5,8.903284781859659,5314.0,False,4,5
S01006692,5381,5225.5,4477.0,8.601240562051151,5383.0,False,5,5
S01006693,4131,3507.0,4117.0,13.812824350838941,4132.0,False,10,6
S01006694,1219,1531.0,906.0,36.56300532323538,1219.0,True,19,18
S01006695,2631,2999.0,2212.0,21.777147400248303,2631.0,True,12,12
S01006696,2079,2355.0,2227.0,26.46553278154001,2079.0,True,14,12
S01006697,2095,2558.0,1632.0,26.32482659818858,2095.0,True,14,14
S01006698,982,891.0,955.0,39.95964501802917,982.0,True,25,18
S01006699,5068,5278.0,5596.0,9.922952001371957,5069.0,False,4,3
S01006700,2607,2872.5,2383.0,21.90675898180826,2607.0,True,12,11
S01006701,1315,1138.0,1534.0,34.99468319593629,1315.0,True,22,15
S01006702,3662,4007.0,3892.0,16.01093832955528,3662.0,True,8,7
S01006703,1919,2091.0,2070.0,28.06233653050722,1919.0,True,16,12
S01006704,725,972.5,348.0,45.08400978404941,725.0,True,24,24
S01006705,1993,1997.0,1936.0,27.2557244473358,1993.0,True,16,13
S01006706,2450,2377.0,2934.0,23.006827629398956,2450.0,True,14,9
S01006707,1042,1232.0,1258.0,39.01845181055428,1042.0,True,22,16
S01006708,2727,2436.0,2738.0,21.12143311731673,2728.0,False,14,10
S01006709,2122,2121.0,2040.0,26.056643300108227,2123.0,False,16,12
S01006710,2756,3246.0,3003.0,20.98051006294255,2756.0,True,11,9
S01006711,1495,2156.0,1287.0,32.30094195040927,1495.0,True,15,16
S01006712,3146,3562.0,2536.0,18.612217510549193,3147.0,False,9,11
S01006713,1820,2497.5,1857.0,29.0676978712695,1819.0,False,14,13
S01006714,2519,2449.0,3157.5,22.4741185466008,2519.0,True,14,9
S01006715,1413,1525.0,2739.0,33.47250633191003,1414.0,False,19,10
S01006716,1754,2072.0,1886.5,29.709741303726982,1754.0,True,16,13
S01006717,1812,2210.0,2279.0,29.114848312148983,1812.0,True,15,11
S01006718,1950,2257.0,2215.0,27.762564393989084,1950.0,True,15,12
S01006719,1884,1846.0,1930.0,28.455351052613295,1884.0,True,17,13
S01006720,1983,2593.0,2261.0,27.349959190574957,1983.0,True,13,12
S01006721,2010,2149.0,1896.0,27.119175187398252,2010.0,True,15,13
S01006722,3028,2867.0,3688.5,19.291258312140037,3028.0,True,12,7
S01006723,2176,2681.0,1897.0,25.552618661701114,2176.0,True,13,13
S01006724,616,597.0,986.0,47.81014354424865,616.0,True,28,18
S01006725,1560,2076.0,1528.0,31.55180247417256,1561.0,False,16,15
S01006726,1087,914.0,1941.0,38.32509737677464,1087.0,True,24,13
S01006727,721,1212.0,729.0,45.17955879782151,721.0,True,22,19
S01006728,2666,3220.0,3322.0,21.541913281912787,2666.0,True,11,8
S01006729,1120,1159.0,1583.0,37.73939499106506,1120.0,True,22,14
S01006730,2639,2605.0,3228.0,21.736694565797077,2639.0,True,13,8
S01006731,1286,1704.0,993.0,35.48232250381926,1286.0,True,18,18
S01006732,4615,4832.0,4970.0,11.884591520700981,4616.0,False,5,4
S01006733,6901,6866.0,6815.0,2.4600117698193134,6901.0,True,1,1
S01006734,6726,6118.0,6091.0,3.637022485108577,6726.0,True,3,3
S01006735,6912,6911.0,6866.0,2.404781896018335,6912.0,True,1,1
S01006736,6228,5917.0,6331.0,5.509021289231214,6228.0,True,3,2
S01006737,6124,6576.0,5655.0,5.907817347909982,6124.0,True,2,3
S01006738,3753,4198.0,4170.5,15.566079769698304,3753.0,True,7,6
S01006739,5737,5749.5,5568.0,7.3236977014532565,5737.0,True,3,3
S01006740,3572,3789.0,3196.0,16.4042504200848,3572.0,True,8,9
S01006741,2882,3243.0,2451.0,20.222781634584003,2882.0,True,11,11
S01006742,2683,2856.5,2202.0,21.404122936452605,2683.0,True,12,12
S01006743,4619,5746.0,4519.0,11.875370544673332,4619.0,True,3,5
S01006744,4034,4454.0,4055.0,14.29387240953866,4034.0,True,6,6
S01006745,2530,2204.0,3413.0,22.39973257294589,2530.0,True,15,8
S01006746,2827,2356.0,2817.0,20.588705327646725,2827.0,True,14,10
S01006747,5621,5199.0,5258.0,7.7166120449325595,5621.0,True,5,4
S01006748,5964,5996.0,6015.0,6.5190977297589665,5964.0,True,3,3
S01006749,3702,3516.0,3070.0,15.835890192284253,3702.0,True,10,9
S01006750,3603,3513.5,3595.0,16.288271904753223,3603.0,True,10,7
S01006751,3992,3330.5,3987.5,14.47492940890337,3992.0,True,10,6
S01006752,3911,3642.0,3451.0,14.809104013231208,3911.0,True,9,8
S01006753,5837,5492.0,5249.0,6.954885920684891,5838.0,False,4,4
S01006754,5767,6030.0,5626.0,7.1966613360430545,5767.0,True,3,3
S01006755,4563,4643.0,5991.0,12.097424727622249,4562.0,False,6,3
S01006756,5974,6115.0,6931.0,6.494748483659754,5974.0,True,3,1
S01006757,6705,6697.0,6327.0,3.704973427517975,6705.0,True,2,2
S01006758,6849,6184.5,6397.0,2.885048644025676,6849.0,True,3,2
S01006759,6793,6295.0,6621.0,3.267310508628121,6793.0,True,2,2
S01006760,6343,5095.0,6228.0,5.105375156733904,6343.0,True,5,2
S01006761,6632,6715.0,6283.0,4.02830726036123,6632.0,True,1,2
S01006762,5401,5716.0,5560.0,8.538417118964535,5401.0,True,3,3
S01006763,6060,5105.0,6307.0,6.160407795971979,6060.0,True,5,2
S01006764,6489,6488.0,6043.0,4.555970249690071,6489.0,True,2,3
S01006765,5678,6169.0,4802.5,7.500594063635232,5678.0,True,3,5
S01006766,6412,6376.0,6010.0,4.874179387153079,6412.0,True,2,3
S01006767,5569,5264.0,4741.0,7.932993675180008,5569.0,True,4,5
S01006768,6877,6923.0,6561.0,2.6766376039041195,6877.0,True,1,2
S01006769,4848,4541.0,4693.0,10.881366760412252,4849.0,False,6,5
S01006770,6181,6023.0,5074.0,5.759488736978237,6181.0,True,3,4
S01006771,6333,5735.0,5555.0,5.13429891430362,6333.0,True,3,3
S01006772,6434,6744.5,6472.0,4.7896981049444785,6434.0,True,1,2
S01006773,6088,5864.0,6167.0,6.005285753351675,6088.0,True,3,2
S01006774,6524,6631.0,6137.0,4.42262157491954,6524.0,True,2,3
S01006775,4565,4165.0,4570.0,12.094587985010367,4565.0,True,7,5
S01006776,3409,2312.0,3190.0,17.231673487967072,3409.0,True,15,9
S01006777,6936,6756.0,6090.0,2.144371224211304,6936.0,True,1,3
S01006778,5367,5370.0,3984.0,8.67508963951688,5367.0,True,4,6
S01006779,2812,2505.0,3011.0,20.6301031887747,2812.0,True,14,9
S01006780,5107,4105.0,4871.0,9.785484629591407,5107.0,True,7,4
S01006781,6340,5760.0,5886.5,5.119028758192263,6340.0,True,3,3
S01006782,6251,6280.5,6420.0,5.41299607171635,6251.0,True,2,2
S01006783,4703,4376.0,3380.0,11.546636406002344,4704.0,False,7,8
S01006784,5945,5394.0,5203.5,6.584231184571777,5945.0,True,4,4
S01006785,6421,6910.0,6682.0,4.849438830963115,6421.0,True,1,2
S01006786,5827,5582.0,5782.0,7.003373066085792,5827.0,True,4,3
S01006787,5240,5092.0,5122.0,9.215709902671001,5240.0,True,5,4
S01006788,4856,5543.0,4895.0,10.839528523757046,4856.0,True,4,4
S01006789,6040,4794.0,5637.0,6.229174170334598,6040.0,True,6,3
S01006790,4871,4439.0,3611.0,10.774586003304679,4871.0,True,6,7
S01006791,3509,4251.0,3932.0,16.741191797258185,3509.0,True,7,6
S01006792,4447,5998.0,5116.0,12.577153298257782,4446.0,False,3,4
S01006793,5949,5376.5,6481.0,6.561160287061261,5949.0,True,4,2
S01006794,4021,3639.0,2851.0,14.345063578689956,4021.0,True,9,10
S01006795,5691,4436.5,4722.0,7.470851810581454,5692.0,False,6,5
S01006796,5637,5602.0,5899.5,7.664990082969169,5637.0,True,4,3
S01006797,5416,6267.0,5956.0,8.456378950677827,5415.0,False,2,3
S01006798,4640,5643.0,5737.0,11.780197066314976,4639.0,False,4,3
S01006799,4596,4404.0,4011.0,11.95604707737633,4596.0,True,7,6
S01006800,5870,6198.0,6396.0,6.832211189724586,5870.0,True,3,2
S01006801,5662,5116.0,6178.5,7.556052271593118,5662.0,True,5,2
S01006802,4490,5225.5,4974.0,12.376361262352338,4489.0,False,5,4
S01006803,4093,3224.0,3618.0,13.990000141984858,4093.0,True,11,7
S01006804,6447,6123.0,5516.0,4.746002928921085,6447.0,True,3,3
S01006805,4515,4483.0,4837.0,12.287015744749045,4515.0,True,6,5
S01006806,4530,4644.0,5017.0,12.238503510606645,4530.0,True,6,4
S01006807,3624,3782.0,4023.0,16.20522010057064,3622.0,False,9,6
S01006808,5371,6593.5,6591.0,8.654583582025227,5370.0,False,2,2
S01006809,3375,3102.0,3435.0,17.40525693909204,3375.0,True,11,8
S01006810,3828,3800.0,4106.0,15.190736413896891,3827.0,False,8,6
S01006811,4810,4526.0,5396.0,11.043728952060759,4810.0,True,6,4
S01006812,4664,4368.0,5445.0,11.68884357596294,4663.0,False,7,4
S01006813,4707,4316.0,5429.0,11.534275910289283,4707.0,True,7,4
