local-authority-code,la-deprivation-score,la-imd-pop-quintile,la-imd-pop-decile,label
DRS,62.310842986626255,1,1,1st IMD quintile
BFS,55.48762251712829,1,1,1st IMD quintile
FMO,48.63055912618788,1,1,1st IMD quintile
NMD,48.61508761840621,1,1,1st IMD quintile
CCG,46.683862853538415,1,1,1st IMD quintile
BPL,45.48705725513819,1,1,1st IMD quintile
KWL,43.16548272593496,1,1,1st IMD quintile
LIV,42.536504286787064,1,1,1st IMD quintile
ABC,41.831160493199235,1,1,1st IMD quintile
MUL,41.492461865382964,1,1,1st IMD quintile
KHL,40.63107646144015,1,1,1st IMD quintile
MDB,40.38096358348702,1,1,1st IMD quintile
MAN,39.820807429755924,1,1,1st IMD quintile
BUN,38.554301968061175,1,1,1st IMD quintile
BIR,38.10821623448962,1,1,1st IMD quintile
MEA,37.70002534895101,1,1,1st IMD quintile
BBD,36.19481978142368,1,1,1st IMD quintile
ANN,35.94093435253465,1,1,1st IMD quintile
AND,35.823503630878164,1,1,1st IMD quintile
LCR,35.14974826911731,1,1,1st IMD quintile
SAW,35.10112444207642,1,1,1st IMD quintile
HPL,34.960676467762084,1,1,1st IMD quintile
BRD,34.88322839474152,1,1,1st IMD quintile
NGM,34.85831456293181,1,1,1st IMD quintile
STE,34.85016334275963,1,1,1st IMD quintile
RCH,34.75680797349064,1,1,1st IMD quintile
HYN,34.682468911565465,1,2,1st IMD quintile
HAS,34.57192434789178,1,2,1st IMD quintile
SLF,34.33304038495716,1,2,1st IMD quintile
OLD,33.83780249251402,1,2,1st IMD quintile
GRY,33.29233555810582,1,2,1st IMD quintile
BDG,32.72231926765802,1,2,1st IMD quintile
HCK,32.56071419678429,1,2,1st IMD quintile
WLV,32.53454664580778,1,2,1st IMD quintile
HAL,32.33652536898231,1,2,1st IMD quintile
WLL,32.17597533610296,1,2,1st IMD quintile
WMCA,32.128698761384314,1,2,1st IMD quintile
BGW,31.98478372220768,1,2,1st IMD quintile
GLG,31.920089483210816,1,2,1st IMD quintile
SHN,31.788258675969765,1,2,1st IMD quintile
STY,31.715865058022466,1,2,1st IMD quintile
TAM,31.66438354827743,1,2,1st IMD quintile
THA,31.44299463085357,1,2,1st IMD quintile
NEL,31.342407130725793,1,2,1st IMD quintile
PEN,31.17465717821782,1,2,1st IMD quintile
BOL,31.13011120848548,1,2,1st IMD quintile
TVCA,30.91782305338904,1,2,1st IMD quintile
LCE,30.85077790324766,1,2,1st IMD quintile
SND,30.691123656397973,1,2,1st IMD quintile
DNC,30.49772315880599,1,2,1st IMD quintile
TEN,30.49612584521121,1,2,1st IMD quintile
GMCA,30.29490712547158,1,2,1st IMD quintile
BNS,30.00411464519213,1,2,1st IMD quintile
NET,29.949040297866716,1,2,1st IMD quintile
ELI,29.844699584412286,1,2,1st IMD quintile
MTY,29.835047029874808,1,2,1st IMD quintile
WRL,29.793185169639305,1,2,1st IMD quintile
RCC,29.791865154939845,1,2,1st IMD quintile
ROT,29.7412722569901,1,2,1st IMD quintile
PRE,29.614644727005977,1,2,1st IMD quintile
IVC,29.55525116332511,1,2,1st IMD quintile
LBC,29.500533368302182,2,3,2nd IMD quintile
NWM,29.404628489468585,2,3,2nd IMD quintile
WDU,29.016676482041536,2,3,2nd IMD quintile
SCR,28.93824727541128,2,3,2nd IMD quintile
WYCA,28.75678036921391,2,3,2nd IMD quintile
NECA,28.52562229956152,2,3,2nd IMD quintile
MAS,28.508844565605187,2,3,2nd IMD quintile
GAT,28.340326975328498,2,3,2nd IMD quintile
TOB,28.21644415986614,2,3,2nd IMD quintile
HRY,28.130705528072156,2,3,2nd IMD quintile
NTL,28.03591706182188,2,3,2nd IMD quintile
PTE,27.880698124681718,2,3,2nd IMD quintile
DND,27.75062873491228,2,3,2nd IMD quintile
LDS,27.68480163502236,2,3,2nd IMD quintile
SWL,27.598931124318707,2,3,2nd IMD quintile
NOW,27.56683175289707,2,3,2nd IMD quintile
TWH,27.521556559762274,2,3,2nd IMD quintile
ISL,27.448605092651782,2,3,2nd IMD quintile
WKF,27.369309972093987,2,3,2nd IMD quintile
RCT,27.30159914517987,2,3,2nd IMD quintile
SHF,27.292290067760614,2,3,2nd IMD quintile
NWP,27.276517596860685,2,3,2nd IMD quintile
POR,27.274293878690585,2,3,2nd IMD quintile
SFT,27.25746748308672,2,3,2nd IMD quintile
NAY,27.032595166198085,2,3,2nd IMD quintile
STH,26.88257812054491,2,3,2nd IMD quintile
DER,26.78383416374533,2,3,2nd IMD quintile
LIC,26.78136226950926,2,3,2nd IMD quintile
PLY,26.74908324303701,2,3,2nd IMD quintile
LEW,26.743396368059326,2,3,2nd IMD quintile
DUR,26.553178170286778,2,4,2nd IMD quintile
CLD,26.492248970230072,2,4,2nd IMD quintile
ASH,26.403706343126068,2,4,2nd IMD quintile
BST,26.384323311256278,2,4,2nd IMD quintile
NLK,26.232545065727802,2,4,2nd IMD quintile
LUT,26.092169648724255,2,4,2nd IMD quintile
IPS,26.071824282573605,2,4,2nd IMD quintile
COV,26.03264564318033,2,4,2nd IMD quintile
WGN,25.922569493887337,2,4,2nd IMD quintile
ENF,25.85252469187583,2,4,2nd IMD quintile
STT,25.83641617852727,2,4,2nd IMD quintile
SWK,25.735333823667787,2,4,2nd IMD quintile
DAL,25.71620211042761,2,4,2nd IMD quintile
BEN,25.649944149121666,2,4,2nd IMD quintile
FEN,25.61847238095238,2,4,2nd IMD quintile
EAY,25.49848153053247,2,4,2nd IMD quintile
CAY,25.472902603782966,2,4,2nd IMD quintile
LBH,25.384398857174407,2,4,2nd IMD quintile
KIR,25.358402535773,2,4,2nd IMD quintile
