parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.BTW,Belfast West,72.52446063525306,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.04015828276058355,0.9598417172394165,1,1
UKPARL.2025.FOY,Foyle,63.659910580249026,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2091177428749124,0.7908822571250876,1,1
UKPARL.2025.BTN,Belfast North,60.522360315715474,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.24146295791910663,0.7585370420808933,1,1
UKPARL.2025.WTY,West Tyrone,53.56612025662986,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.058584422449463186,0.9414155775505368,1,1
UKPARL.2025.NAR,Newry and Armagh,50.73512991373751,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.18023673497314494,0.819763265026855,1,1
UKPARL.2025.BPS,Blackpool South,50.480492896551084,1st IMD quintile,Constituencies in most deprived quintile (20%),0.02544588446545035,0.3107747271661565,0.6637793883683931,1,1
UKPARL.2025.LRV,Liverpool Riverside,49.29088149349514,1st IMD quintile,Constituencies in most deprived quintile (20%),0.061322502394317954,0.2626759037239509,0.6760015938817312,1,1
UKPARL.2025.BLA,Birmingham Ladywood,48.61403681127604,1st IMD quintile,Constituencies in most deprived quintile (20%),0.01930175629468449,0.1632780929437364,0.8174201507615791,1,1
UKPARL.2025.KNW,Knowsley,47.98310505642051,1st IMD quintile,Constituencies in most deprived quintile (20%),0.048299222560042446,0.22893668251474278,0.7227640949252148,1,1
UKPARL.2025.ELD,East Londonderry,47.38041885025132,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.20906018214252184,0.7909398178574781,1,1
UKPARL.2025.LWL,Liverpool Walton,47.35001208407566,1st IMD quintile,Constituencies in most deprived quintile (20%),0.06595403912253235,0.17073368244884737,0.7633122784286203,1,1
UKPARL.2025.BSN,Birmingham Hodge Hill and Solihull North,45.56298935604408,1st IMD quintile,Constituencies in most deprived quintile (20%),0.060624863626445556,0.16425512764564695,0.7751200087279075,1,1
UKPARL.2025.LWD,Liverpool West Derby,45.320432120486366,1st IMD quintile,Constituencies in most deprived quintile (20%),0.026050110537951362,0.33250736919675755,0.6414425202652911,1,1
UKPARL.2025.FST,Fermanagh and South Tyrone,45.129838486129366,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.16366860514639264,0.8363313948536073,1,1
UKPARL.2025.SDW,South Down,44.98719260776701,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.18427898030931247,0.8157210196906876,1,1
UKPARL.2025.BDE,Bradford East,44.63252375540858,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04698848757349671,0.24148567475806965,0.7115258376684337,1,1
UKPARL.2025.MTE,Middlesbrough and Thornaby East,44.556291919951974,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1536621040083193,0.2286542835160933,0.6176836124755873,1,1
UKPARL.2025.LSO,Leeds South,44.0883610070423,1st IMD quintile,Constituencies in most deprived quintile (20%),0.06519677412845641,0.27927061403213765,0.6555326118394059,1,1
UKPARL.2025.BMS,Blackley and Middleton South,43.640897763855506,1st IMD quintile,Constituencies in most deprived quintile (20%),0.05925739524309503,0.26833733936117593,0.672405265395729,1,1
UKPARL.2025.UBN,Upper Bann,43.229367888715814,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.39070604014358035,0.6092939598564197,1,1
UKPARL.2025.SBH,Sheffield Brightside and Hillsborough,42.5775983914671,1st IMD quintile,Constituencies in most deprived quintile (20%),0.07025388820148167,0.2270897614609927,0.7026563503375256,1,1
UKPARL.2025.BER,Birmingham Erdington,42.369586033506955,1st IMD quintile,Constituencies in most deprived quintile (20%),0.009147143490646163,0.3489218095860861,0.6419310469232677,1,1
UKPARL.2025.BDW,Bradford West,42.20331413722772,1st IMD quintile,Constituencies in most deprived quintile (20%),0.02425038651094933,0.3660204251983364,0.6097291882907143,1,1
UKPARL.2025.BPB,Birmingham Perry Barr,42.13629881351289,1st IMD quintile,Constituencies in most deprived quintile (20%),0.012040490892359135,0.2915850034772713,0.6963745056303696,1,1
UKPARL.2025.BTL,Bootle,41.758991887615664,1st IMD quintile,Constituencies in most deprived quintile (20%),0.10676511482955363,0.2735772162823033,0.6196576688881431,1,1
UKPARL.2025.BYA,Birmingham Yardley,41.401979767558295,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.24914655054696627,0.7508534494530338,1,1
UKPARL.2025.MUL,Mid Ulster,41.05334482403424,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.24140561343896816,0.7585943865610318,1,1
UKPARL.2025.GNE,Glasgow North East,40.63856650064179,1st IMD quintile,Constituencies in most deprived quintile (20%),0.12425939977075699,0.319454982806774,0.5562856174224691,1,1
UKPARL.2025.MCT,Manchester Central,40.537191425982,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04159845999283391,0.4301903229659189,0.5282112170412472,1,1
UKPARL.2025.BLS,Bolton South and Walkden,40.49543536543979,1st IMD quintile,Constituencies in most deprived quintile (20%),0.07297226421497548,0.24167000894702742,0.6853577268379971,1,1
UKPARL.2025.NAN,North Antrim,40.44026662431669,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.4380896436327388,0.5619103563672612,1,1
UKPARL.2025.WAB,Walsall and Bloxwich,40.11853207328833,1st IMD quintile,Constituencies in most deprived quintile (20%),0.12397299903567985,0.1801427193828351,0.6958842815814851,1,1
UKPARL.2025.HUE,Kingston upon Hull East,39.93822777191727,1st IMD quintile,Constituencies in most deprived quintile (20%),0.15651960968993708,0.2988923633349659,0.544588026975097,1,1
UKPARL.2025.BDS,Bradford South,39.72514469694602,1st IMD quintile,Constituencies in most deprived quintile (20%),0.03468944390609859,0.37762183114000814,0.5876887249538932,1,1
UKPARL.2025.BKH,Birkenhead,39.606425867623706,1st IMD quintile,Constituencies in most deprived quintile (20%),0.16389620641229222,0.3387610489504071,0.4973427446373007,1,1
UKPARL.2025.GAD,Gorton and Denton,39.60270924882793,1st IMD quintile,Constituencies in most deprived quintile (20%),0.06420124553915052,0.23147435448883913,0.7043243999720104,1,1
UKPARL.2025.SGF,Strangford,39.522818838452565,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.41168516318468507,0.5883148368153149,1,1
UKPARL.2025.BNF,Birmingham Northfield,39.12389118568155,1st IMD quintile,Constituencies in most deprived quintile (20%),0.052626974823731125,0.38298021239743163,0.5643928127788372,1,1
UKPARL.2025.WSE,Wolverhampton South East,38.824948193520754,1st IMD quintile,Constituencies in most deprived quintile (20%),0.024089083548149884,0.22346039159912404,0.7524505248527261,1,1
UKPARL.2025.BBN,Blackburn,38.673179141288685,1st IMD quintile,Constituencies in most deprived quintile (20%),0.14360474881323868,0.27633637721771875,0.5800588739690425,1,1
UKPARL.2025.RCD,Rochdale,38.63208952840733,1st IMD quintile,Constituencies in most deprived quintile (20%),0.14535686443941429,0.2882904883111516,0.5663526472494341,1,1
UKPARL.2025.GGC,Great Grimsby and Cleethorpes,38.60899572244632,1st IMD quintile,Constituencies in most deprived quintile (20%),0.187526509101082,0.31064605499454023,0.5018274359043777,1,1
UKPARL.2025.BHG,Birmingham Hall Green and Moseley,38.454657278974025,1st IMD quintile,Constituencies in most deprived quintile (20%),0.03694616501968104,0.3685735574136932,0.5944802775666258,1,1
UKPARL.2025.BUR,Burnley,38.245489167433085,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1387706340251638,0.3157705107661967,0.5454588552086395,1,1
UKPARL.2025.BTE,Belfast East,38.09263646945371,1st IMD quintile,Constituencies in most deprived quintile (20%),0.019135206635206636,0.5316834691834692,0.44918132418132417,1,1
UKPARL.2025.MRH,Manchester Rusholme,37.45673526011561,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.521468127248474,0.4785318727515259,1,1
UKPARL.2025.SFD,Salford,37.379141204807595,1st IMD quintile,Constituencies in most deprived quintile (20%),0.10278772399188496,0.3555338220673936,0.5416784539407214,1,1
UKPARL.2025.STC,Stoke-on-Trent Central,37.33224331657956,1st IMD quintile,Constituencies in most deprived quintile (20%),0.07073321422011455,0.3592265433232588,0.5700402424566267,1,1
UKPARL.2025.NGN,Nottingham North and Kimberley,37.26883798877745,1st IMD quintile,Constituencies in most deprived quintile (20%),0.11784562364688729,0.29960676887730303,0.5825476074758097,1,1
UKPARL.2025.OLW,"Oldham West, Chadderton and Royton",37.24852979285801,1st IMD quintile,Constituencies in most deprived quintile (20%),0.11030008810877114,0.30273137190539534,0.5869685399858335,1,1
UKPARL.2025.TIP,Tipton and Wednesbury,37.15099511781795,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04430277598450613,0.3539380245319561,0.6017591994835377,1,1
UKPARL.2025.LEA,Leeds East,37.084401596062946,1st IMD quintile,Constituencies in most deprived quintile (20%),0.25294680787410995,0.21387542631484474,0.5331777658110453,1,1
UKPARL.2025.EAS,Easington,35.94000265509852,1st IMD quintile,Constituencies in most deprived quintile (20%),0.08285161762400042,0.3916374849736058,0.5255108974023938,1,1
UKPARL.2025.EAN,East Antrim,35.90390920659977,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0232281637861037,0.580926419982214,0.39584541623168235,1,1
UKPARL.2025.GEA,Glasgow East,35.545860763545264,1st IMD quintile,Constituencies in most deprived quintile (20%),0.18939730490152526,0.33177411346591057,0.4788285816325642,1,1
UKPARL.2025.HUN,Kingston upon Hull North and Cottingham,35.236743821451554,1st IMD quintile,Constituencies in most deprived quintile (20%),0.2121770165331682,0.34104446599251975,0.4467785174743121,1,1
UKPARL.2025.LEW,Leicester West,35.17903098332677,1st IMD quintile,Constituencies in most deprived quintile (20%),0.08611494026519627,0.4892674281213076,0.42461763161349614,1,1
UKPARL.2025.DES,Derby South,35.14526765748452,1st IMD quintile,Constituencies in most deprived quintile (20%),0.14454836643177452,0.25938073884262225,0.5960708947256033,1,1
UKPARL.2025.BNS,Barnsley South,35.14056349165108,1st IMD quintile,Constituencies in most deprived quintile (20%),0.05812201205570568,0.4720085914224347,0.4698693965218596,1,2
UKPARL.2025.TOT,Tottenham,35.13690756800147,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.49759839981050386,0.5024016001894961,1,2
UKPARL.2025.RHM,Rotherham,34.97822707657311,1st IMD quintile,Constituencies in most deprived quintile (20%),0.21101930217776738,0.29978590305422675,0.48919479476800587,1,2
UKPARL.2025.NCL,Newcastle upon Tyne Central and West,34.96544524092641,1st IMD quintile,Constituencies in most deprived quintile (20%),0.10034321541496635,0.45896954301002624,0.44068724157500744,1,2
UKPARL.2025.BTS,Belfast South and Mid Down,34.75969564442822,1st IMD quintile,Constituencies in most deprived quintile (20%),0.03271802011570129,0.6940717091944918,0.2732102706898069,1,2
UKPARL.2025.WLL,Wallasey,34.60798423155226,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1795509545576768,0.3865670495140783,0.43388199592824495,1,2
UKPARL.2025.JGE,Jarrow and Gateshead East,34.58099765446118,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1328487127459558,0.34269066810625665,0.5244606191477875,1,2
UKPARL.2025.HPL,Hartlepool,34.5539677762226,1st IMD quintile,Constituencies in most deprived quintile (20%),0.28047946286688485,0.2136324889763531,0.505888048156762,1,2
UKPARL.2025.NGE,Nottingham East,34.55323520793951,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04639481501485282,0.47514177693761817,0.478463408047529,1,2
UKPARL.2025.WYT,Wythenshawe and Sale East,34.34540078174712,1st IMD quintile,Constituencies in most deprived quintile (20%),0.2673938732842469,0.22036178529224615,0.5122443414235069,1,2
UKPARL.2025.AUL,Ashton-under-Lyne,34.33433660641376,1st IMD quintile,Constituencies in most deprived quintile (20%),0.05626405089068785,0.4940973657415342,0.44963858336777796,1,2
UKPARL.2025.LWV,Liverpool Wavertree,34.271315349532486,1st IMD quintile,Constituencies in most deprived quintile (20%),0.18393355603349654,0.37011699385286534,0.4459494501136381,1,2
UKPARL.2025.CLT,Clacton,34.25831698031111,1st IMD quintile,Constituencies in most deprived quintile (20%),0.08614261839541944,0.5608219692849302,0.3530354123196503,1,2
UKPARL.2025.SKN,Stockton North,34.230592559166624,1st IMD quintile,Constituencies in most deprived quintile (20%),0.2122317699582353,0.3291536652105036,0.4586145648312611,1,2
UKPARL.2025.SMK,Smethwick,34.227323463249206,1st IMD quintile,Constituencies in most deprived quintile (20%),0.03837829547197464,0.43209666149729886,0.5295250430307264,1,2
UKPARL.2025.SHE,Sheffield Heeley,34.19902314493472,1st IMD quintile,Constituencies in most deprived quintile (20%),0.19165427202115354,0.3413320112378119,0.46701371674103453,1,2
UKPARL.2025.ETH,East Thanet,34.1716112905635,1st IMD quintile,Constituencies in most deprived quintile (20%),0.18954217857276223,0.3653329101161358,0.445124911311102,1,2
UKPARL.2025.BGR,Blaenau Gwent and Rhymney,34.05174720212656,1st IMD quintile,Constituencies in most deprived quintile (20%),0.012023069646326453,0.533704265036466,0.4542726653172076,1,2
UKPARL.2025.HSD,Hackney South and Shoreditch,34.02653452934341,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.5485255665310865,0.4514744334689134,1,2
UKPARL.2025.SHS,St Helens South and Whiston,33.91342598737455,1st IMD quintile,Constituencies in most deprived quintile (20%),0.18556774036905146,0.36171697960505017,0.45271528002589834,1,2
UKPARL.2025.CEA,Coventry East,33.84986203318744,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0889893978474196,0.49697133546204486,0.41403926669053553,1,2
UKPARL.2025.BLN,Bolton North East,33.8349559995577,1st IMD quintile,Constituencies in most deprived quintile (20%),0.2690380804137215,0.23516803184567098,0.4957938877406075,1,2
UKPARL.2025.BSS,Bristol South,33.80886350587382,1st IMD quintile,Constituencies in most deprived quintile (20%),0.25096264072190705,0.3436406925134476,0.40539666676464536,1,2
UKPARL.2025.SAN,South Antrim,33.67459860658869,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.6876844881490927,0.3123155118509074,1,2
UKPARL.2025.WBW,West Bromwich,33.625324951147164,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04162806449352651,0.4289940598067685,0.529377875699705,1,2
UKPARL.2025.HYB,Hyndburn,33.55412111831286,1st IMD quintile,Constituencies in most deprived quintile (20%),0.20945255984435632,0.32599185235346595,0.4645555878021777,1,2
UKPARL.2025.BKG,Barking,33.475616205603615,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.5224159310324467,0.47758406896755334,1,2
UKPARL.2025.PRE,Preston,33.299729977729775,1st IMD quintile,Constituencies in most deprived quintile (20%),0.15779206644229,0.33144957385174395,0.5107583597059661,1,2
UKPARL.2025.GYM,Great Yarmouth,33.29233555810582,1st IMD quintile,Constituencies in most deprived quintile (20%),0.13386888942578723,0.4815072078601917,0.3846239027140211,1,2
UKPARL.2025.HMN,Heywood and Middleton North,33.097645556384,1st IMD quintile,Constituencies in most deprived quintile (20%),0.21156049391696521,0.3667460764880249,0.42169342959500994,1,2
UKPARL.2025.BAA,Blyth and Ashington,33.09452271145912,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1877480620534883,0.29931106124008977,0.512940876706422,1,2
UKPARL.2025.OLE,Oldham East and Saddleworth,33.034219949878356,1st IMD quintile,Constituencies in most deprived quintile (20%),0.31155907585929354,0.20774873323943147,0.480692190901275,1,2
UKPARL.2025.HAR,Hastings and Rye,32.98822358380009,1st IMD quintile,Constituencies in most deprived quintile (20%),0.12839228206808095,0.47339232820588534,0.3982153897260337,1,2
