Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006506,Culter,Aberdeen City,894,580,4691,3936,3220,5174,5887,4724,4664,3248
S01006507,Culter,Aberdeen City,793,470,4862,4829,4481,5051,4384,2148,4602,3486
S01006508,Culter,Aberdeen City,624,461,5686,4460,5110,5942,5915,4200,4563.5,5342
S01006509,Culter,Aberdeen City,537,307,4332,3481,3229,3871,6401,3982,5626,4394.5
S01006510,Culter,Aberdeen City,663,415,3913,3344,3448,3049,4092,5588,3885,3736
S01006511,Culter,Aberdeen City,759,453,6253,5469,5346,5783,5410,4974,6928,5924
S01006512,Culter,Aberdeen City,539,345,5692,6264,6206,6586,6506,547,4528,4815
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,6177,6572,5695,5516,6531,1490,6928,6394
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,6715,6704,6658,6733,6847,1858,5507,6868
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,6363,6955,6803,6846,6838,659,6844,6174.5
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,629,419,5947,6359,5542,6852,6631,1037,4580,6570
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,1052,646,5772,6335,5324,6159,6704,931,5594,5892
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,664,370,6674,6864,6851,6919,6960,1161,6792,6960
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,941,560,6229,6474,6284,6776,6904,938,5628,6856
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,875,559,6490,6831,6920,6940,6965,785,6928,6825
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,793,512,6519,6952,6896.5,6952,6808,904,5889,6869
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,675,412,6769,6969,6955,6930,6931,1385,6273,6841
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,957,571,6504,5955.5,6373,6423,6906,2357,5000,6581
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,1056,629,4175,3368,2956,4161,6256,3281,6586,6240
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,904,497,6143,5748,5409.5,5894,6810,2432,5803,6259.5
S01006526,Garthdee,Aberdeen City,924,670,2538,2796,3450,2897,1073,1906,5840,1454
S01006527,Garthdee,Aberdeen City,756,508,2030,2045,2228,2072,1360,2976,2692,3235
S01006528,Garthdee,Aberdeen City,1154,829,3834,3529,4079,3285,3178,3717,3786,1723
S01006529,Garthdee,Aberdeen City,932,680,3770,3619,4557,4117,2612,3842,1432,945
S01006530,Garthdee,Aberdeen City,785,548,2218,2282,2360,2679,1021,5745,2494,1626.5
S01006531,Garthdee,Aberdeen City,946,655,1611,1802,2419,1933,320,5143,2237,1122
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,793,445,5977,5440,5265,5684,6177,3920,3342,6110
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,717,475,6786,6688,6361,6790,6781,3089,4095,6946
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,956,625,6831,6483,6616,6760,6588,4158,3383,6168
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1046,812,6734,6182,6081,6633,6174,5586,4257,2839
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1003,827,5634,5325,5383,5967,4874,5925,1729,1197
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,920,497,6664,6697,6758,5227,6845,2127,6866,6398
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,548,335,6457,6724,6391,6474,6537,1286,6731,6461.5
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,781,462,6727,6250.5,6109,6374,6757,3394,5867,6328
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,933,633,6478,6516,5795,6597,6561,2417,5378,4761
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,864,468,6548,5792,5861,5596,6878,3887,6463,6619
S01006542,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1131,664,6751,6862,6611,6667,6535,2069,5703,6239
S01006543,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,792,453,6756,6641,6493,5682,6676,2700,6928,6900
S01006544,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1283,862,6937,6644,6927,6511,6534,4316,6663,3379.5
S01006545,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1120,731,6594,6217.5,5967,6012,6408,4572,3834,4757
S01006546,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,624,387,6951,6663.5,5953,6305,6966,6399,6928,6799
S01006547,Hazlehead,Aberdeen City,1242,752,3784,4021,3752,4381,6395,661,2085,4090
S01006548,Hazlehead,Aberdeen City,658,361,6455,6623,6264,6698,6765,1259,6928,6499
S01006549,Hazlehead,Aberdeen City,796,503,6820,6908,6827,6466,6819,2363,5084,6004
S01006550,Hazlehead,Aberdeen City,900,508,6760,6875,6706,6378,6963,2008,5324,6585
S01006551,Hazlehead,Aberdeen City,704,431,1474,1882,999,2047,3550,1754,523,1502
S01006552,Hazlehead,Aberdeen City,884,585,6084,5879,6124,6688,5534,1694,5052,6637
S01006553,Summerhill,Aberdeen City,903,508,5280,5211,4719,4149,5829,2781,4687,4628
S01006554,Summerhill,Aberdeen City,777,491,3924,3537,3857,4396,4216,4460,923,2235
S01006555,Summerhill,Aberdeen City,732,537,1608,2495,1432,1362,2039,2597,463,1067
S01006556,Summerhill,Aberdeen City,804,497,2292,2037,1937,2261,3187,4613,2882,1660
S01006557,Summerhill,Aberdeen City,679,425,1446,1871,1328,1076,1680,1835,3052,2323
S01006558,Midstocket,Aberdeen City,596,427,6797,6207,6023.5,6490,6707,6316,4134,2751
S01006559,Midstocket,Aberdeen City,601,404,6972,6709,6749,6845,6918,6569,4464,5199
S01006560,Midstocket,Aberdeen City,1018,641,6953,6498.5,6817,6048,6720,6116,5547,5876
S01006561,Midstocket,Aberdeen City,728,443,6975,6888,6873,6714,6629,6844,3906,6509
S01006562,Midstocket,Aberdeen City,972,612,4724,4550,3514,4127,5671,3680,4252,4177.5
S01006563,Midstocket,Aberdeen City,677,395,5035,5609.5,4939,4954,6349,5453,90,2829
S01006564,Rosemount,Aberdeen City,1007,791,3336,3294,3088,3595,2578,6560,2221,608
S01006565,Rosemount,Aberdeen City,1000,888,3653,3675,3803,4499,2041,5613,3067,140
S01006566,Rosemount,Aberdeen City,761,618,5826,4950,5202,5938,5650,6722,2545,1947
S01006567,Rosemount,Aberdeen City,744,607,2656,2757,2013,3028,3539,6205,1695,275
S01006568,Rosemount,Aberdeen City,921,823,5931,5946,5682,6234,4018,6846,2570,649
S01006569,Rosemount,Aberdeen City,561,444,5320,4657,4000,4850,6566,6720,3977,1285
S01006570,Rosemount,Aberdeen City,739,537,6963,6712,6683,6906,6727,6493,4688,4238
S01006571,West End North,Aberdeen City,911,635,6414,6029,6230,6727,6699,6283,715,3853
S01006572,West End North,Aberdeen City,957,622,6930,6953,6902,6924,6972,3422,4036,6285
