nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
E,E01021988,92.735,56.89999999999999,53.400000000000006,101.46751584946162,1,1.0,1.0,1,1
W,W01000240,86.6,61.0,43.0,96.60582234706148,1,1.0,2.0,1,1
E,E01012673,88.774,60.9,45.9,96.42833164770482,1,1.0,3.0,1,1
E,E01012751,88.023,54.900000000000006,45.1,94.45839709264104,1,1.0,4.0,1,1
E,E01012681,88.408,49.9,46.400000000000006,94.30878304958331,1,1.0,5.0,1,1
E,E01012737,87.371,50.2,42.199999999999996,92.04754296175753,1,1.0,6.0,1,1
E,E01012670,87.112,54.300000000000004,39.2,91.5180385154341,1,1.0,7.0,1,1
E,E01012682,86.803,53.900000000000006,39.800000000000004,91.42103906039752,1,1.0,8.0,1,1
E,E01012672,88.139,47.4,39.6,91.19428137003709,1,1.0,9.0,1,1
E,E01022025,83.878,46.300000000000004,49.2,91.14324115208728,1,1.0,10.0,1,1
E,E01012671,88.026,46.9,39.4,90.94301850829632,1,1.0,11.0,1,1
E,E01012683,84.357,52.0,44.5,90.86742597342794,1,1.0,12.0,1,1
S,S01010891,89.20058602807558,48.0,44.0,89.20058602807558,1,1.0,13.0,1,1
E,E01007122,82.666,54.900000000000006,41.4,88.97128128297778,1,1.0,14.0,1,1
S,S01010245,88.56904062035917,51.0,42.0,88.56904062035917,1,1.0,15.0,1,1
S,S01011598,88.10305197070684,45.0,44.0,88.10305197070684,1,1.0,16.0,1,1
E,E01006558,83.903,46.2,40.1,87.86864610991383,1,1.0,17.0,1,1
E,E01008978,78.083,55.800000000000004,47.699999999999996,87.84907749468377,1,1.0,18.0,1,1
S,S01012068,87.51609178279996,50.0,39.0,87.51609178279996,1,1.0,19.0,1,1
E,E01012655,78.945,53.5,45.0,87.1243521918337,1,1.0,20.0,1,1
E,E01007133,75.014,58.099999999999994,50.8,87.00588892716505,1,1.0,21.0,1,1
E,E01005482,79.3,51.2,44.9,86.94226691673835,1,1.0,22.0,1,1
E,E01006547,84.368,45.5,36.8,86.91318624931793,1,1.0,23.0,1,1
E,E01006874,81.0,51.300000000000004,41.099999999999994,86.91136711828547,1,1.0,24.0,1,1
E,E01012674,83.919,46.1,37.4,86.8908328905419,1,1.0,25.0,1,1
E,E01006611,82.675,51.0,37.3,86.78777978171519,1,1.0,26.0,1,1
E,E01012041,77.591,57.8,44.2,86.57405779338303,1,1.0,27.0,1,1
W,W01000239,80.3,50.0,35.0,86.36289604889909,1,1.0,28.0,1,1
E,E01024858,83.799,47.599999999999994,35.3,86.3166899657506,1,1.0,29.0,1,1
S,S01010122,86.2874653157124,46.0,37.0,86.2874653157124,1,1.0,30.0,1,1
E,E01007007,77.125,51.0,47.4,86.11844867856679,1,1.0,31.0,1,1
S,S01007465,86.05619961362788,47.0,35.0,86.05619961362788,1,1.0,32.0,1,1
E,E01012675,82.236,51.0,35.699999999999996,85.87132086670215,1,1.0,33.0,1,1
E,E01012897,82.194,49.7,36.4,85.85250539271102,1,1.0,34.0,1,1
E,E01007127,81.054,50.4,38.2,85.74444500900871,1,1.0,35.0,1,1
E,E01013139,81.738,49.5,37.1,85.71412697152712,1,1.0,36.0,1,1
E,E01012721,77.561,51.7,44.5,85.54101506856125,1,1.0,37.0,1,1
E,E01012679,82.897,48.699999999999996,34.300000000000004,85.45863814229357,1,1.0,38.0,1,1
E,E01012090,78.009,51.4,42.9,85.25760169717812,1,1.0,39.0,1,1
W,W01001421,79.8,47.0,34.0,85.08870626537038,1,1.0,40.0,1,1
E,E01008427,79.298,49.4,40.400000000000006,84.99105105520405,1,1.0,41.0,1,1
S,S01009622,84.98470540365814,52.0,41.0,84.98470540365814,1,1.0,42.0,1,1
S,S01010644,84.77049346708729,46.0,35.0,84.77049346708729,1,1.0,43.0,1,1
E,E01013138,81.548,47.599999999999994,35.8,84.75064300221683,1,1.0,44.0,1,1
E,E01013136,77.552,50.3,43.0,84.7375542008341,1,1.0,45.0,1,1
E,E01030258,81.147,43.9,38.1,84.5895284176286,1,1.0,46.0,1,1
S,S01012067,84.46136597850825,48.0,35.0,84.46136597850825,1,1.0,47.0,1,1
E,E01026383,81.3,45.300000000000004,36.7,84.4607929283487,1,1.0,48.0,1,1
E,E01012622,79.94,48.1,37.9,84.35091100545625,1,1.0,49.0,1,1
E,E01004960,77.703,54.50000000000001,39.2,84.25642719800176,1,1.0,50.0,1,1
E,E01012736,80.117,42.4,38.7,83.73170884730354,1,1.0,51.0,1,1
S,S01007801,83.72270864723092,46.0,31.0,83.72270864723092,1,1.0,52.0,1,1
E,E01005918,77.101,47.8,42.4,83.71365120944353,1,1.0,53.0,1,1
S,S01008787,83.70380944486544,43.0,40.0,83.70380944486544,1,1.0,54.0,1,1
E,E01005350,75.624,53.2,42.8,83.70146875302028,1,1.0,55.0,1,1
S,S01010323,83.64592133396968,59.0,43.0,83.64592133396968,1,1.0,56.0,1,1
E,E01024908,82.749,44.0,31.4,83.43872063122551,1,1.0,57.0,1,1
S,S01012492,83.21439319040907,42.0,35.0,83.21439319040907,1,1.0,58.0,1,1
E,E01030247,76.806,48.6,41.199999999999996,83.19946533004935,1,1.0,59.0,1,1
